,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SMIM24,45.4494785718283,2.18014694181158,0.420380311362086,5.18612999440346,2.14708967096209e-07,1.64689345252303e-06
SMKR1,67.4084451703678,2.15394834292049,0.407886567255437,5.28075331682003,1.286538123727e-07,1.03174036381835e-06
SMOC2,1772.25771855926,-2.9793724882384,0.418331031908886,-7.12204512929204,1.06337223792162e-12,2.23529705846441e-11
SMPX,27.8589429947859,-3.4032994059894,0.593553213248335,-5.7337730299937,9.82207503933169e-09,9.88351866378445e-08
SMTN,6139.37918647496,-3.31516000079558,0.25050812432162,-13.2337424575474,5.60266377129309e-40,2.0727988399194e-36
SMTNL1,35.6947269309568,2.04214258483346,0.404290557317008,5.0511755663692,4.39099241789285e-07,3.13412378432108e-06
SNCB,4.82364151437712,2.08438642168437,0.624152479863436,3.33954680776151,0.000839152079657498,0.00269105718928592
SNORA60,8.42998415257126,2.15622461247534,0.353704432179504,6.0961198568783,1.08673944650985e-09,1.32765229684236e-08
SNORD116-1,0.408264136079655,-2.24703429381576,0.878406658765134,-2.55807975883818,0.0105251948710419,0.0241836534258761
SNORD116-2,0.396147067691133,-2.48040355325176,0.725960387391458,-3.41672024580352,0.000633803730460235,0.00210711026040981
SNORD116-4,2.04224651374254,-2.05490420001545,0.488601512095595,-4.20568530621617,2.60292213254794e-05,0.00012463258304206
SNORD14E,33.9452268660522,2.75165842822479,0.432759834777214,6.35839605965593,2.03871262223174e-10,2.83910557015684e-09
SNTG2,7.65061216705654,-2.59183729325089,0.50282186520792,-5.15458350678356,2.54195265621979e-07,1.91210657616967e-06
SOBP,264.360342021547,-3.25231963599818,0.331123875932681,-9.82206319866645,9.04726092571032e-23,1.25519436268074e-20
SOCS3,7374.77383969001,-2.3901111125552,0.298804561127793,-7.99891107262248,1.25524329110334e-15,4.18376735374054e-14
SOHLH1,7.46613758681326,3.3704936609864,0.822156604133052,4.09957621704021,4.13907347252426e-05,0.000188238379313857
SORBS1,3786.2770583788,-4.37707513146268,0.440092347577399,-9.94581059079399,2.630238548759e-23,4.24144945233243e-21
SORBS2,1352.90813457101,-3.65812567172035,0.37956842428243,-9.63759216440618,5.54738853804361e-22,6.65626652797254e-20
SORCS1,43.617230556132,-4.38114035484324,0.568553294347222,-7.70576900776453,1.30057695506407e-14,3.7640426660381e-13
SORCS3,1.47543046959874,-2.35278398569895,0.916982377024194,-2.56578975196256,0.0102941203740176,0.023726392281429
SOST,14.7592736612485,3.10163039907125,0.854113713722932,3.63140217659284,0.000281885505679417,0.00103426354629284
SOX11,41.146482299391,3.37412750285795,0.453670695817479,7.43739354109712,1.02691280541109e-13,2.59038755164947e-12
SOX17,156.518549026068,-2.89872715207644,0.305369476602692,-9.49252421795875,2.25506205429488e-21,2.24904031337124e-19
SOX5,57.8105064117476,-2.36879553973004,0.327461515509213,-7.23381352476333,4.69616497556876e-13,1.04769316711232e-11
SOX9-AS1,27.027472289824,2.34973751676065,0.431850395660885,5.44109149920939,5.2955104878719e-08,4.59717410284632e-07
SP8,6.47563646024369,3.70604207034599,1.21607037896155,3.04755558104353,0.00230710855593609,0.00650078645908472
SPACA6P-AS,12.3833349575007,2.11305876697471,0.409465120558602,5.16053422106388,2.46246143327546e-07,1.8586099590564e-06
SPAG5,2452.48240954763,2.0876096357957,0.209668502639808,9.95671552718641,2.35721752957368e-23,3.84746431775563e-21
SPANXB1,16.0532020398066,5.7011240964054,1.54063008989195,3.70051457115525,0.000215162723517711,0.000812552251896248
SPARCL1,7591.38283439338,-3.16104911525841,0.330442869098369,-9.56609874464382,1.11015915464761e-21,1.18518061662312e-19
SPATA21,5.73445611388492,2.49356687186097,0.665877256781515,3.74478456271881,0.000180548636237218,0.000693874416065403
SPATA31C2,3.2726127472487,2.71207954103849,0.964828844849327,2.81094367723015,0.00493964320321536,0.0125400503002029
SPATA4,2.28654963191906,-2.49332624551989,0.447138052315029,-5.5761889032053,2.45844958506384e-08,2.2672481881698e-07
SPDYC,40.1674164541882,5.64070741913101,0.791237430553529,7.12896938556727,1.0112322068324e-12,2.13580709108141e-11
SPEF1,22.5950263535708,2.0600085017798,0.386655546029505,5.32776142210723,9.94306092281978e-08,8.1746691246205e-07
SPEG,956.394758495179,-3.18527080674749,0.421389184593846,-7.55897617499984,4.06254298601398e-14,1.08520251749144e-12
SPEM2,1.28661767786226,2.33901197414762,0.829471061700887,2.81988375742888,0.0048041048902225,0.0122520129082214
SPINK6,17.247560669098,2.01125174618098,0.827128342342097,2.43160782096515,0.0150319735579107,0.0328845716998621
SPINK7,25.9729822392661,-2.75812784161786,0.698452603738699,-3.94891196174811,7.85072160614476e-05,0.000332069966107472
SPON1,1737.88309849354,-2.43422230478275,0.422907197966853,-5.75592545240513,8.6168408096203e-09,8.79432792146903e-08
SPP1,8660.06975377694,4.08157604439015,0.472493561197147,8.63837389455372,5.70187489941982e-18,3.0498847955981e-16
SPRR1A,1657.19829567838,2.17757184753452,0.580449242399968,3.75152845153346,0.00017575980305861,0.000677953915201073
SPRR1B,2461.28774620252,4.82549130175889,0.699620308327102,6.89730021316473,5.30001021879998e-12,9.97876393867023e-11
SPRR2A,303.292825505306,4.48569098954344,0.786057463200132,5.70656879368802,1.15276328042685e-08,1.13678539755287e-07
SPRR2B,8.27828284293905,2.74970762932277,1.20498207228283,2.28194899540162,0.0224923517025502,0.0466229548130739
SPRR2D,323.654377553596,5.50258880971038,0.757588227762957,7.26329767023795,3.77765336973585e-13,8.57426886517346e-12
SPRR2E,151.058839793158,6.20319367863577,0.995640444904158,6.2303552556394,4.65378633727356e-10,6.07317749058192e-09
SPRR2F,24.884446674438,3.45665945409995,0.889322524948197,3.88684572484128,0.000101555250995297,0.000418333179646341
SPRR2G,46.4364060849713,6.51109378627764,1.15204732338446,5.6517589634682,1.58814192323863e-08,1.52480858183612e-07
SPRR4,11.1483855860241,4.02658798098067,0.905963600239216,4.44453616008134,8.80816931913615e-06,4.75842644308066e-05
SRD5A2,72.7150177390282,-2.28066383085968,0.655128069993998,-3.48124883563694,0.000499081603368163,0.00170781770179844
